timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,,Latency,Latency,Latency
1650343977237,173,HTTP Request,200,OK,Thread Group 3-1,text,true,,37675170,1,1,http://localhost:50001/calculationsStored,126,0,1,,126,153,157
1650343977512,131,HTTP Request,200,OK,Thread Group 3-1,text,true,,37675170,1,1,http://localhost:50001/calculationsStored,96,0,1,,96,117,80
1650343977745,169,HTTP Request,200,OK,Thread Group 3-1,text,true,,37675170,2,2,http://localhost:50001/calculationsStored,119,0,0,,119,123,99
1650343977848,145,HTTP Request,200,OK,Thread Group 3-2,text,true,,37675170,2,2,http://localhost:50001/calculationsStored,108,0,0,,108,75,76
1650343978015,123,HTTP Request,200,OK,Thread Group 3-1,text,true,,37675170,2,2,http://localhost:50001/calculationsStored,83,0,0,,83,130,73
1650343978099,135,HTTP Request,200,OK,Thread Group 3-2,text,true,,37675170,2,2,http://localhost:50001/calculationsStored,103,0,1,,103,74,87
1650343978255,122,HTTP Request,200,OK,Thread Group 3-1,text,true,,37675170,3,3,http://localhost:50001/calculationsStored,83,0,0,,83,125,72
1650343978334,134,HTTP Request,200,OK,Thread Group 3-2,text,true,,37675170,3,3,http://localhost:50001/calculationsStored,97,0,1,,97,173,100
1650343978438,157,HTTP Request,200,OK,Thread Group 3-3,text,true,,37675170,3,3,http://localhost:50001/calculationsStored,112,0,1,,112,129,131
1650343978478,199,HTTP Request,200,OK,Thread Group 3-1,text,true,,37675170,3,3,http://localhost:50001/calculationsStored,155,0,0,,155,81,94
1650343978570,176,HTTP Request,200,OK,Thread Group 3-2,text,true,,37675170,3,3,http://localhost:50001/calculationsStored,131,0,0,,131,157,107
1650343978702,139,HTTP Request,200,OK,Thread Group 3-3,text,true,,37675170,3,3,http://localhost:50001/calculationsStored,102,0,1,,102,173,95
1650343978787,153,HTTP Request,200,OK,Thread Group 3-1,text,true,,37675170,4,4,http://localhost:50001/calculationsStored,113,0,0,,113,130,120
1650343978858,172,HTTP Request,200,OK,Thread Group 3-2,text,true,,37675170,4,4,http://localhost:50001/calculationsStored,128,0,0,,128,184,89
1650343978942,176,HTTP Request,200,OK,Thread Group 3-3,text,true,,37675170,4,4,http://localhost:50001/calculationsStored,137,0,1,,137,278,135
1650343979047,247,HTTP Request,200,OK,Thread Group 3-1,text,true,,37675170,4,4,http://localhost:50001/calculationsStored,194,0,0,,194,252,237
1650343979041,311,HTTP Request,200,OK,Thread Group 3-4,text,true,,37675170,4,4,http://localhost:50001/calculationsStored,268,0,0,,268,240,192
1650343979225,201,HTTP Request,200,OK,Thread Group 3-3,text,true,,37675170,4,4,http://localhost:50001/calculationsStored,163,0,0,,163,233,213
1650343979131,372,HTTP Request,200,OK,Thread Group 3-2,text,true,,37675170,4,4,http://localhost:50001/calculationsStored,337,0,0,,337,208,190
1650343979396,192,HTTP Request,200,OK,Thread Group 3-1,text,true,,37675170,5,5,http://localhost:50001/calculationsStored,143,0,0,,143,187,132
1650343979527,192,HTTP Request,200,OK,Thread Group 3-3,text,true,,37675170,5,5,http://localhost:50001/calculationsStored,142,0,1,,142,209,267
1650343979456,340,HTTP Request,200,OK,Thread Group 3-4,text,true,,37675170,5,5,http://localhost:50001/calculationsStored,292,0,1,,292,240,241
1650343979604,279,HTTP Request,200,OK,Thread Group 3-2,text,true,,37675170,5,5,http://localhost:50001/calculationsStored,233,0,0,,233,294,341
1650343979689,351,HTTP Request,200,OK,Thread Group 3-1,text,true,,37675170,5,5,http://localhost:50001/calculationsStored,272,0,0,,272,340,321
1650343979650,405,HTTP Request,200,OK,Thread Group 3-5,text,true,,37675170,5,5,http://localhost:50001/calculationsStored,333,0,0,,333,265,326
1650343979820,320,HTTP Request,200,OK,Thread Group 3-3,text,true,,37675170,5,5,http://localhost:50001/calculationsStored,276,0,0,,276,435,339
1650343979984,232,HTTP Request,200,OK,Thread Group 3-2,text,true,,37675170,6,6,http://localhost:50001/calculationsStored,177,0,0,,177,321,295
1650343979901,422,HTTP Request,200,OK,Thread Group 3-4,text,true,,37675170,6,6,http://localhost:50001/calculationsStored,372,0,1,,372,318,343
1650343980158,238,HTTP Request,200,OK,Thread Group 3-5,text,true,,37675170,6,6,http://localhost:50001/calculationsStored,203,0,0,,203,306,339
1650343980142,325,HTTP Request,200,OK,Thread Group 3-1,text,true,,37675170,6,6,http://localhost:50001/calculationsStored,293,0,4,,293,289,383
1650343980242,332,HTTP Request,200,OK,Thread Group 3-6,text,true,,37675170,6,6,http://localhost:50001/calculationsStored,290,0,0,,290,298,398
1650343980242,399,HTTP Request,200,OK,Thread Group 3-3,text,true,,37675170,6,6,http://localhost:50001/calculationsStored,374,0,0,,374,333,378
1650343980322,435,HTTP Request,200,OK,Thread Group 3-2,text,true,,37675170,7,7,http://localhost:50001/calculationsStored,396,0,0,,396,394,394
1650343980427,458,HTTP Request,200,OK,Thread Group 3-4,text,true,,37675170,7,7,http://localhost:50001/calculationsStored,418,0,0,,418,462,539
1650343980498,432,HTTP Request,200,OK,Thread Group 3-5,text,true,,37675170,7,7,http://localhost:50001/calculationsStored,393,0,0,,393,510,481
1650343980574,466,HTTP Request,200,OK,Thread Group 3-1,text,true,,37675170,7,7,http://localhost:50001/calculationsStored,416,0,0,,416,460,494
1650343980674,479,HTTP Request,200,OK,Thread Group 3-6,text,true,,37675170,7,7,http://localhost:50001/calculationsStored,443,0,0,,443,393,372
1650343980745,548,HTTP Request,200,OK,Thread Group 3-3,text,true,,37675170,7,7,http://localhost:50001/calculationsStored,492,0,0,,492,460,544
1650343980985,479,HTTP Request,200,OK,Thread Group 3-4,text,true,,37675170,8,8,http://localhost:50001/calculationsStored,422,0,0,,422,483,653
1650343980858,648,HTTP Request,200,OK,Thread Group 3-2,text,true,,37675170,8,8,http://localhost:50001/calculationsStored,537,0,0,,537,646,625
1650343980838,678,HTTP Request,200,OK,Thread Group 3-7,text,true,,37675170,8,8,http://localhost:50001/calculationsStored,582,0,0,,582,359,475
1650343981038,570,HTTP Request,200,OK,Thread Group 3-5,text,true,,37675170,8,8,http://localhost:50001/calculationsStored,533,0,0,,533,575,586
1650343981141,569,HTTP Request,200,OK,Thread Group 3-1,text,true,,37675170,8,8,http://localhost:50001/calculationsStored,539,0,1,,539,506,377
1650343981395,402,HTTP Request,200,OK,Thread Group 3-3,text,true,,37675170,8,8,http://localhost:50001/calculationsStored,346,0,0,,346,621,603
1650343981438,489,HTTP Request,200,OK,Thread Group 3-8,text,true,,37675170,8,8,http://localhost:50001/calculationsStored,445,0,0,,445,450,670
1650343981258,696,HTTP Request,200,OK,Thread Group 3-6,text,true,,37675170,9,9,http://localhost:50001/calculationsStored,605,0,0,,605,623,711
1650343981564,558,HTTP Request,200,OK,Thread Group 3-4,text,true,,37675170,9,9,http://localhost:50001/calculationsStored,506,0,1,,506,544,685
1650343981612,622,HTTP Request,200,OK,Thread Group 3-2,text,true,,37675170,9,9,http://localhost:50001/calculationsStored,582,0,1,,582,625,662
1650343981711,602,HTTP Request,200,OK,Thread Group 3-5,text,true,,37675170,9,9,http://localhost:50001/calculationsStored,577,0,0,,577,558,587
